chapter,page,text
9.0,22,Everyday words are often called slang words.
9.0,22,Rude and disrespectful words about sex and parts of the body are often called “dirty words.” Jokes about bodies and sex are some- times called “dirty jokes.” Some people think it’s fun to use slang or dirty words and to joke about bodies and sex.
9.0,22,Others feel embarrassed or uncomfortable when they hear these words.
9.0,22,"It’s important to respect people’s feelings about slang, dirty words, or dirty jokes, whatever those feelings may be."
9.0,22,"Perhaps people feel uncom- fortable talking about sex and bodies because we do not see our sexual body parts as much as we see our arms, legs, ﬁngers, toes, ears, eyes, and noses."
9.0,22,"After all, our sexual body parts are usually covered by clothes."
9.0,22,Some people think it’s wrong to think and talk or joke about bodies and sex.
9.0,22,"But many people think it can be com- forting and helpful to talk or even joke about sex and bodies with someone you know and trust like a friend, a parent, an older brother or sister, or a cousin."
10.0,24,They change because everything that’s alive grows and changes.
10.0,24,There is a time when girls and boys do more than just grow taller and bigger as they have done since birth.
10.0,24,Girls start to grow into young women sometime between the ages of eight or nine and ﬁfteen.
10.0,24,Boys start to grow into young men sometime between the ages of nine or ten and ﬁfteen.
10.0,24,Puberty is one of the names given to this span of time.
10.0,24,"The word puberty comes from the Latin word pubertas, which means grown-up or adult ."
10.0,24,"When people use the word puberty, they are usually talking about all the physical changes that"
10.0,25,Most of these changes make it physically possible for a female and a male to make a baby.
10.0,25,The other word that is used to describe the span of time between childhood and adult- hood is ­ adolescence .
10.0,25,"The word adolescence comes from the Latin word ­ adolescere, which means to grow up ."
10.0,25,"When people use the word adolescence, they are usually talking not only about the physical changes that take place during puberty, but also about all the new thoughts, feelings, relationships, and responsibilities kids have as they become young adults."
10.0,25,"Even though the words adoles- cence and puberty have somewhat different meanings, people often use them interchangeably."
10.0,25,"Puberty, or adolescence, is an in-between time — when a boy or girl is not a child any- more but is not yet an adult."
10.0,25,Girls often start puberty when they are nine or ten or eleven years old.
10.0,25,Boys often start puberty a year or so later — when they are ten or eleven or twelve.
10.0,25,"For most kids, puberty takes place over a stretch of time — over a few years."
10.0,25,This usually gives kids time to get used to their adult bodies.
10.0,25,The many changes that take place in our bodies during puberty are caused by hormones.
10.0,25,Hormones are chem- icals that are produced in many different places in our bodies.
10.0,25,Hormones travel through the body’s bloodstream from the place where they are made to other places in the body where they do their work.
10.0,25,"The word hormone comes from the Greek word hormon, meaning to set in motion — to start something working."
10.0,25,There are many kinds of hormones in our bodies.
10.0,26,"During puberty, the brain begins to manufacture special hormones."
10.0,26,These hormones send a message to the sex organs — a boy’s testicles or a girl’s ovaries — that tells them to start working — to start producing sex hormones.
10.0,26,The sex hormones in the male body then instruct the testicles to make sperm.
10.0,26,The sex hormones in the female body then instruct the ovaries to send out an egg.
10.0,26,It is the sex hormones that cause the changes that make children’s bodies grow into adult bodies.
10.0,26,Only then is it possible for humans to have babies.
10.0,26,"Once the sex hormones start working, puberty begins."
10.0,26,Some sex hormones cause changes to take place in and around boys’ and girls’ sex organs.
10.0,26,Others cause changes to take place throughout their bodies.
10.0,26,Sex hormones can also affect girls’ and boys’ feelings and moods.
10.0,26,"Many cultures, religions, communities, and families mark the beginning of puberty for a boy or girl with a celebration or ceremony."
10.0,26,They view puberty as a special part of growing up.
10.0,26,Others choose to let a boy or girl enter puberty without a celebration or ceremony.
10.0,26,They view puberty simply as a reg- ular and ordinary part of growing up.
11.0,27,And the ovaries do just that.
11.0,27,They begin to produce the hor- mones estrogen and progesterone.
11.0,27,"Estrogen tells the eggs, which have been in a girl’s ovaries since birth, to grow up."
11.0,27,Usually only one egg grows up at a time.
11.0,27,"When the eggs grow up, the ovaries do something they’ve never done before."
11.0,27,"About once a month, they release a single grown-up egg."
11.0,27,An egg is about the size of a grain of sand.
11.0,27,Eggs are female sex cells.
11.0,27,A girl’s ovaries usually begin releasing eggs during puberty.
11.0,27,"In her life, she will release about four hundred to ﬁve hundred eggs."
11.0,27,The release of an egg is called ovulation.
11.0,27,"The word ovulation comes from the Latin word ovum, meaning egg."
11.0,27,"At about the same time every month, when an egg is released from one of the ovaries, it is swept by tiny ﬁngerlike projections into one of the Fallopian tubes, where it begins its travels to the uterus."
11.0,27,The Fallopian tube is the place where an egg can meet and unite with a sperm.
11.0,27,"Once an egg has united with a sperm, they become the beginning cell of a baby."
11.0,27,The uniting of an egg cell and a sperm cell is called conception or fertilization.
11.0,27,"The fertilized egg continues to travel through the Fallopian tube and into the uterus, where the female sex hormone proges- terone has helped to create a soft lining that is ready to receive it."
11.0,27,The fertilized egg then plants itself in the lining of the uterus.
11.0,27,"This soft, thick, cozy lining is made of extra blood vessels, tissue, and other ﬂuids and is created so that the fertilized egg will have a healthy place to grow."
11.0,27,"If the egg has been fertilized, it will usually plant itself in the uterus and stay there — and grow into a baby."
11.0,27,"However, most of the time, the egg is not fertilized."
11.0,27,"If the egg does not unite with a sperm within about twenty-four to thirty-six hours after leaving an ovary, it does not stay in the uterus and does not go on to develop into a baby."
11.0,27,"Instead, the egg breaks down while it is in the uterus and mixes with some of the extra blood and ﬂuid in the soft lining of the uterus."
11.0,27,"Since there is no fertilized egg starting to grow in the uterus, this soft lining is not needed and dissolves."
11.0,27,"It then passes out of the uterus, through the vagina, and out of the body in the form of a small amount of blood, other ﬂuids, and tissue."
11.0,27,The lining’s monthly passing out of the uterus and the vagina is called menstruation.
11.0,27,"The word menstruation comes from the Latin word mensis, which means month ."
11.0,28,"At puberty the brain tells the ovaries to produce estrogen, which tells the eggs to mature."
11.0,28,"And then, about once a month, an egg leaves an ovary and pops into a Fallopian tube, where it waits before traveling to the uterus."
11.0,28,"In the uterus, the egg and lining dissolve and leave."
11.0,28,Next month .
11.0,29,The period of time from the beginning of one menstruation to the next is about a month long and is called the menstrual cycle.
11.0,29,Girls usually start to men- struate after their ovaries have begun to release eggs.
11.0,29,"As soon as a girl’s ovaries have begun to release eggs, she can become pregnant if she has had sexual intercourse."
11.0,29,But some girls may begin to release eggs even before they start to menstruate.
11.0,29,"This means that it is possible, although quite rare, for a girl to become pregnant before she has started to menstruate."
11.0,29,Girls usually start to menstruate at the age of eleven or twelve.
11.0,29,"But some start as early as age nine and others start as late as age ﬁfteen, and that’s perfectly normal."
11.0,29,"The very ﬁrst time a girl menstruates, she may worry that a large amount of blood will suddenly ﬂow out."
11.0,29,"In fact, the blood usually comes out slowly."
11.0,29,Only a few tablespoonfuls to about half a cup of blood and ­tissue dribble out during each menstruation.
11.0,29,"But the amount can be more or less, and that’s also perfectly normal."
11.0,29,This dribbling continues over a period of a few days.
11.0,29,"That’s why people call menstruation a menstrual period or “having your period.” Other kids call menstruation “my friend,” “that time of the month,” or “the curse.” No matter what people call it, menstruation is a healthy ­occurrence."
11.0,29,A period usually lasts about three to eight days.
11.0,29,"When a girl ﬁrst starts to menstruate, her ­periods often come irreglarly — sometimes a few weeks apart, sometimes many weeks apart."
11.0,29,It can often take up to one or two years for a girl’s period to occur on a regular schedule — about once a month.
11.0,29,Some girls’ and women’s periods never become very regular.
11.0,29,"If that happens, it’s a good idea to check with a nurse or doctor — just to make sure it’s normal for you."
11.0,29,Most girls and women ­continue their regular activities during ­menstruation.
11.0,29,"For example, they bathe, shower, swim, play sports, dance, and do whatever they ­normally like to do."
11.0,29,"Some girls and women do get cramps — usually slight, tight pains around the area of the uterus — before and during their periods."
11.0,29,Most cramps are normal.
11.0,29,"When girls and women travel, play sports vigorously, lose or gain a lot of weight, or become upset or ill, their periods can become irregular for a while."
11.0,29,"And when a fem­ale becomes pregnant, her periods stop until after the baby is born."
11.0,29,"When women are about ﬁfty years old, their bodies start to make fewer sex hormones."
11.0,29,"As a result, their ovaries stop releasing eggs, and they stop menstruating."
11.0,29,This period of time in a woman’s life is called menopause — the pausing and stopping of menstruation.
11.0,29,"When a woman stops having menstrual periods, she is no longer able to become pregnant."
11.0,29,"During a menstrual period, a girl or woman uses pads or tampons to absorb the men- strual ﬂow that passes out of her vagina so it will not leak on her underpants or other clothes."
11.0,29,She can use which­ever is more comfortable.
11.0,29,Pads are also called sanitary ­napkins.
11.0,29,Sanitary means clean.
11.0,30,"Pads and tampons are made of a clean, soft, cottonlike material and absorb the menstrual ﬂow."
11.0,30,"A pad ﬁts on the inside of a girl’s or woman’s underpants, just out- side the opening to her vagina."
11.0,30,Most pads come with a small piece of adhesive tape on one side that keeps the pad in place.
11.0,30,Tampons ﬁt inside the vagina.
11.0,30,A tampon cannot move into the uterus because the cervix is too small an opening for a tampon to pass through.
11.0,30,One way a girl can ﬁnd out when she might get her ﬁrst period is to ask her mother.
11.0,30,"If her mother started menstruating early, there’s a good chance she may start early too."
11.0,30,"If her mother started later, there’s a good chance that she may start later."
11.0,30,"Talking to someone about menstruation — one’s mother or grandmother or aunt, or an older friend or cousin — can be ­helpful."
11.0,30,A girl can ﬁnd out many
11.0,31,This kind of information can help prepare a girl for her ﬁrst period — whether it starts when she is at home or out with friends or in school.
11.0,31,She may also want to carry a pad or tampon in her purse or back­ pack in case she gets her ﬁrst period when she is not at home.
11.0,31,"No matter how well prepared she is, a girl’s ﬁrst period usually comes as somewhat of a surprise."
11.0,31,"For some girls, it may feel quite exciting; for others, a bit scary."
11.0,31,"But no matter how a girl feels, starting to menstruate is a ­perfectly normal and natural part of growing up."
11.0,31,Most girls feel that starting to menstruate is one of the biggest changes of puberty.
12.0,32,And the testicles do just that.
12.0,32,"They begin to produce testosterone, which causes the male body to grow and change in many new ways."
12.0,32,One of the most important things testosterone does is instruct the testicles to begin to make sperm — something the testicles have never done before.
12.0,32,Sperm are male sex cells.
12.0,32,"Unlike girls, boys do not start making sex cells until they reach puberty."
12.0,32,"Starting at puberty, however, the testicles make a phenomenal number of sperm — about one hundred million to three hundred million sperm per day."
12.0,32,That’s anywhere from about one thousand to three thousand sperm every second.
12.0,32,"The scrotum protects the testicles by keeping them at the right temperature to make sperm, not too cold and not too hot, just a few degrees below the body’s temperature."
12.0,32,"If it is too cold, the scrotum pulls up the testicles closer to the body to keep them warm enough to make sperm."
12.0,32,"When a man or boy is swimming in cold water, he can often feel his scrotum tighten as it pulls up his testicles."
12.0,32,"If it is too hot, the scrotum hangs down loosely, away from the body, again keeping the testicles at just the right temperature to make sperm."
12.0,32,"After sperm are produced, the sperm from the right testicle travel through the right epididymis, and the sperm from the left testicle travel through the left epididymis."
12.0,32,"As they travel, the sperm grow up enough to be able to fertilize — to unite with — a female’s egg."
12.0,32,Sperm travel through the vas deferens and pass by the seminal vesicles.
12.0,32,"As sperm pass by, they mix with ﬂuid from the seminal vesicles and the prostate gland."
12.0,32,The mixture of sperm and ﬂuid is now called semen.
12.0,32,"Semen is sticky, cloudy, and whitish."
12.0,32,"Chemicals in it keep the sperm healthy as they travel into the urethra, through it, and out the tip of the penis."
12.0,32,Sperm leave the male body when a male ejaculates semen.
12.0,32,To ejaculate means to suddenly release or to let go .
12.0,32,"When a male ejaculates, his penis is usually erect."
12.0,32,Here’s what happens inside a male’s body when he has an erection: When his penis is not
12.0,33,At puberty the brain tells the testicles to produce testosterone and sperm.
12.0,33,"Sperm travel to the epididymis, where they mature and travel through the vas deferens, past the seminal vesicles and prostate gland, through the urethra, and are spurted out the tip of the penis."
12.0,34,"But when he has an erection, the muscles that allow blood to ﬂow in and out of his penis open wide and allow more blood to be pumped in, while other muscles tighten and keep the extra amount of blood from leaving the penis."
12.0,34,"This causes the spongy tissue inside the penis to ﬁll up, which in turn makes the penis become stiff, erect, and stand out from the body."
12.0,34,This ﬁlling up is called an erection.
12.0,34,"When the erection is over, the muscles relax and allow the blood to ﬂow back out of the penis and into the body again."
12.0,34,And the penis becomes soft again.
12.0,34,"A male can have an erection when his penis is touched and rubbed; when he has pleasurable thoughts or sees someone who makes him feel happy, excited, sexy, or nervous; when he is watching a movie or TV show or video or reads or sees some- thing online that excites him; when someone attractive to him walks by; or when he is having a pleasurable dream."
12.0,34,Males often have erections when they wake up.
12.0,34,"If a male’s bladder — the place where urine is stored in his body — is full, the full bladder excites some nerves at the base of his penis, which causes more blood to ﬂow into the penis."
12.0,34,This kind of erection has little to do with sexy thoughts and feelings.
12.0,34,Males usually have erections before and during sexual inter- course.
12.0,34,An erection makes it possible for the penis to enter the vagina.
12.0,34,"Sometimes males have erections for no apparent reason, even when they don’t want to have them."
12.0,34,Some people call an erection a “hard-on” or “boner” even though there are no bones in the penis.
12.0,34,"Erections usually last a few seconds, to a few minutes, to a half-hour, or more."
12.0,34,Males can have erections from the time they are little babies until they are old men — even while they sleep.
12.0,34,"Here’s what happens inside a male’s body when he has an ejaculation: Muscles in each epididymis, in each vas deferens, and in the seminal vesicles, along with muscles around the prostate gland, tighten and push the semen into the urethra."
12.0,34,"The semen, which contains sperm, travels through the urethra and spurts out through the tip of the penis."
12.0,34,This spurting out of semen — ejaculation — causes a feeling of excitement called an orgasm.
12.0,35,"During ejaculation, muscles tighten so that urine does not leave the penis at the same time as semen."
12.0,35,"After ejaculation, the penis becomes soft again and is no longer erect."
12.0,35,There are usually about two to ﬁve hundred million sperm spurted out in a single ejaculation — about a teaspoon­ ful of semen.
